Farmacia MARIANO ACOSTA	                                        	      	                                             	                         	X 0001-00000852
                       	                                        	      	                                             	                         	10/08/2018     
Pedido a droguería     	                                        	      	                                             	                         	               
Proveedor:             	Monroe - Gomer S.A.C.I                  	      	                                             	Número de factura:       	               
C.U.I.T.:              	30-51705909-5                           	      	                                             	Es reposición automática:	[-]            
Sugerido               	Encargado                               	Pedido	Producto                                     	                         	Código barras  
1                      	0                                       	2     	ACALIX  60 mg COM x   50                     	                         	7444345002811  
2                      	0                                       	1     	ACALIX AP 120 mg CAP x   30                  	                         	7795345001968  
3                      	0                                g911gfd
2                      	0                                       	1     	ADALAT OROS 60 mg COM x   20                 	                         	7793640002017  
4                      	0                                       	1     	ADALAT RETARD 10 mg COM x   50               	                         	7793640001898  
5                      	0                                       	1     	ADALAT RETARD 20 mg COM x   50   gafd       	7795320050127  
7                      	0                                       	2     	ALCON LAGRIMAS COL x   15                    	                         	7792086057544  
1                      	0                                       	1     	ALKET  COL x    5                            	                         	7795368054729  
1                      	0                                       	1     	AMISPED 10 mg COM x fdg                   	                         	7705959013226  
1                      	0                            dg         	1     	AMLOC 10 mg TAB x   20                       	                         	7795381012249  
1                      	0                                       	1     	AMLOC 10 mg TAB x   30                       	                         	7795381012331  
36                     	0                      adgfdgfd                	1     	AMOXIDAL RESPIRATORIO DUO COM x   14         	                         	7795345011097  
1           fdgfd    	1     	AXIOMAT 20 mg COM x   30                     	                         	7795328052871  
1                      	0                                       	1     	AZATIOPRINA RONTAG 50 mg COM x  100          	                         	7798239770223  
4                      	0                                       	2     	BACTROBAN CRE x   15                         	                         	7794640205217  
4                      	0                                       	2     	BACTROBAN NASAL UNG x    3                   	                         	7794640205118  
1                      	0                                       	1     	BAÑO OCULAR POEN  COL x   80                 	                         	7795368547153  
3                      	0                                       	3     	BELOZOK  50 mg COM x   30                    	                         	7795302180460  
4                      	0                         adg     dafgfdgfdg         	1     	fadgfENGUE ULTRA GEL x   65                      	                         	0650240006678  
2                      	0                                       	1     	BETASEL 0.5%  COL x    5                     	                         	7896548158777  
2                      	0                                       	1     	BETASEL S 0.25%  COL x    5                  	                         	7792086057599  
1                      	0                                       	1     	BETNOVATE N CRE x   15                       	                         	7796930001196  
1                      	0                                       	1     	BEZACUR RETARD  400 sdgdgdgda COM x   30            	                         	7795380004047  
5                      	0                                       	2     	BISOLfdgN COMPOSITUM NF SOL x  120            	                         	7795304000636  
59                     	0                                       	1     	BLOKIUM  75 mg COM x   15                    	                         	7791909317322  
11                     	0                                       	1     	BLOKIUM  75 mg 3 ML AMP x    3               	                         	7791909317834  
1                      	0                                       	1     	BLOKIUM  75 mg 3 ML AMP x    5               	                         	7791909317872  
2                      	0                                       	1     	BLOKIUM B12 AMP x    3                       	                         	7791909319210  
3                      	0                                       	2     	BRIMOPRESS T  COL x    5                     	                         	7795368000283  
1                      	0                                       	1     	BRIT  COL x    5                             	                         	7791763000798  
5                      	0                                       	1     	BRONQUISEDAN ADULTOS JBE x  150              	                         	7792819000359  
26                     	0                                       	12    	BUSCAPINA GRA x   20                         	                         	7795304018235  
24                     	0                                       	2     	BUSCAPINA COMPOSITUM GTS x   20              	                         	7795304019324  
3                      	0                                       	2     	BUSCAPINA COMPOSITUM N (VL) COM x   20       	                         	7795304022225  
2                      	0                                       	2     	BUSHI ESCUDO FORMADOR PEZON ENV x    2       	                         	7793742004506  
1                      	0                                       	1     	CEFALEXINA ARGENTIA  250 mg SUS x  120       	                         	7798129410178  
22                     	0                                       	2     	CEFALEXINA ARGENTIA DUO 1 g COM x   14       	                         	7798129411021  
2                      	0                                       	1     	CEFALEXINA ARGENTIA DUO 750 mg SUS x   90    	                         	7798129411014  
7                      	0                                       	2     	CELESTONE GTS x   15                         	                         	7793081023343  
7                      	0                                       	2     	CELESTONE CRONODOSE 2 ML AMP x    1          	                         	7793081023831  
1                      	0                                       	1     	CENTRUM  SUPLEMENTO DIETARIO  COM x  100     	                         	7795381001830  
1                      	0                                       	1     	CENTRUM SILVER FORTE COM x   30              	                         	7792270062002  
10                     	0                                       	1     	CHAPSTICK CUIDADO INTENSO Labial BAR x  4,2  	                         	0003660083331  
24                     	0                                       	2     	CICATRICURE FIRMEZA CORPORAL NF EMU x  400   	                         	7798140258414  
6                      	0                                       	2     	CILOXADEX  COL x    5                        	                         	7896548140437  
5                      	0                                       	2     	CILOXADEX OFT. UNG x  3,5                    	                         	7896548198575  
2                      	0                                       	1     	CIPROVIT CALCICO JBE x  150                  	                         	7795328050266  
2                      	0                                       	1     	CIRCLET ANILLO VAGINAL  ENV x    1           	                         	7795318000110  
2                      	0                                       	1     	COLCHICINA HOUDE COM x   60                  	                         	7795366453166  
