Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
26/11/2018 06:10:00 a.m.;FAC;A001307045132;97,14;0,00;0,00;0,00;0,00;0,00;97,14
26/11/2018 07:56:00 a.m.;FAC;A001307045286;0,01;0,00;0,00;0,00;0,00;0,00;0,01
26/11/2018 11:31:00 a.m.;FAC;A001307045997;0,00;620,23;130,25;0,00;0,00;0,00;750,48
26/11/2018 12:24:00 p.m.;FAC;A001307046457;0,00;438,96;92,18;0,00;0,00;0,00;531,14
26/11/2018 02:05:00 p.m.;FAC;A001307047036;17.965,72;295,49;62,05;0,00;0,00;0,00;18.323,26
26/11/2018 02:38:00 p.m.;FAC;A001307047133;0,00;84,90;17,83;0,00;0,00;0,00;102,73
26/11/2018 03:28:00 p.m.;NCR;A001301475002;-16.351,96;0,00;0,00;0,00;0,00;0,00;-16.351,96
26/11/2018 03:37:00 p.m.;NCR;A001301475296;-4.091,35;0,00;0,00;0,00;0,00;0,00;-4.091,35
26/11/2018 03:40:00 p.m.;NCR;A001301475542;-527,56;0,00;0,00;0,00;0,00;0,00;-527,56
26/11/2018 05:41:00 p.m.;FAC;A001307047667;205,67;0,00;0,00;0,00;0,00;0,00;205,67
26/11/2018 05:41:00 p.m.;FAC;A001307047668;280,24;0,00;0,00;0,00;0,00;0,00;280,24
26/11/2018 06:02:00 p.m.;FAC;A001307047761;26.270,86;159,51;33,50;0,00;0,00;0,00;26.463,87
26/11/2018 08:35:00 p.m.;FAC;A001307048891;19.575,81;417,44;87,66;0,00;0,00;0,00;20.080,91
26/11/2018 09:50:00 p.m.;FAC;A001307049597;5.685,98;0,00;0,00;0,00;0,00;0,00;5.685,98
27/11/2018 07:51:00 a.m.;FAC;A001307049817;0,01;0,00;0,00;0,00;0,00;0,00;0,01
27/11/2018 08:55:00 a.m.;FAC;A001307049930;0,00;216,85;45,54;0,00;0,00;0,00;262,39
27/11/2018 10:58:00 a.m.;FAC;A001307050275;0,00;438,96;92,18;0,00;0,00;0,00;531,14
27/11/2018 10:58:00 a.m.;FAC;A001307050285;0,00;1.505,48;316,15;0,00;0,00;0,00;1.821,63
27/11/2018 10:59:00 a.m.;FAC;A001307050301;0,00;832,00;174,72;0,00;0,00;0,00;1.006,72
27/11/2018 11:31:00 a.m.;FAC;A001307050429;114,27;217,82;45,74;0,00;0,00;0,00;377,83
27/11/2018 11:59:00 a.m.;FAC;A001307050600;605,32;0,00;0,00;0,00;0,00;0,00;605,32
27/11/2018 12:10:00 p.m.;NCR;A001301475958;-1.013,08;0,00;0,00;0,00;0,00;0,00;-1.013,08
27/11/2018 12:15:00 p.m.;FAC;A001307050677;18.990,16;814,21;170,98;0,00;0,00;0,00;19.975,35
27/11/2018 12:22:00 p.m.;NCR;A001301476079;-2.345,52;0,00;0,00;0,00;0,00;0,00;-2.345,52
27/11/2018 01:05:00 p.m.;FAC;A001307050941;1.556,11;0,00;0,00;0,00;0,00;0,00;1.556,11
27/11/2018 01:13:00 p.m.;FAC;A001307051002;11.443,35;0,00;0,00;0,00;0,00;0,00;11.443,35
27/11/2018 02:25:00 p.m.;FAC;A001307051297;0,00;153,23;32,18;0,00;0,00;0,00;185,41
27/11/2018 02:46:00 p.m.;FAC;A001307051342;464,88;0,00;0,00;0,00;0,00;0,00;464,88
27/11/2018 03:00:00 p.m.;FAC;A001307051359;4.455,14;0,00;0,00;0,00;0,00;0,00;4.455,14
27/11/2018 06:03:00 p.m.;FAC;A001307051863;5.009,27;0,00;0,00;0,00;0,00;0,00;5.009,27
27/11/2018 09:26:00 p.m.;FAC;A001307053494;2.715,49;354,00;74,34;0,00;0,00;0,00;3.143,83
