Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
D;102 AÑOS CPR X 60;27508;9990249;7790839950203;FRANKLIN MILLET;17,20;1;0;0;0
D;102 AÑOS PLUS CPR X 30;30940;9990138;7790839000861;FRANKLIN MILLET;29,68;1;0;0;0
D;102 AÑOS PLUS CPR X 60;33894;9990449;7790839980255;FRANKLIN MILLET;46,88;1;0;0;0
D;102 AÑOS PLUS CPR X 90;;9982842;7790839000724;FRANKLIN MILLET;69,36;1;0;0;0
D;102 AÑOS PLUS SOB X 15;;9984125;7790839980446;FRANKLIN MILLET;17,46;1;0;0;0
D;102 SPORT SOB X 30;41681;9981566;7790839980736;FRANKLIN MILLET;47,61;1;0;0;0
D;3TC 150 MG CPR X 60 (X/ENCARGO);18000;4108451;7796930007310;GLAXOSMITHKLINE;699,61;0;0;0;1
D;3TC COMPLEX CPR X 60 (X/ENCARGO);21955;4408181;7796930003336;GLAXOSMITHKLINE;1354,90;0;0;0;1
D;3TC SOL ORAL X 240 ML (X/ENCARGO);18001;4108371;7796930007303;GLAXOSMITHKLINE;246,71;0;0;0;1
D;5 ASA 400 MG CPR X 30;11105;3313721;7795327061164;DOMINGUEZ;248,27;0;0;0;0
D;5 ASA 400 MG CPR X 60;11106;3313722;7795327061171;DOMINGUEZ;472,06;0;0;0;0
D;5 ASA 400 MG SUPOS X 10;11107;3314131;7795327061188;DOMINGUEZ;117,28;0;0;0;0
D;5 ASA 400 MG SUPOS X 30;11108;3314132;7795327061195;DOMINGUEZ;335,71;0;0;0;0
D;5 ASA 500 MG CPR X 30;43119;5820131;7795327063625;DOMINGUEZ;263,76;0;0;0;0
D;5 ASA 500 MG CPR X 60;43120;5820132;7795327063632;DOMINGUEZ;474,79;0;0;0;0
D;5 ASA 800 MG CPR X 30;43121;5820001;7795327063670;DOMINGUEZ;421,99;0;0;0;0
D;5 ASA 800 MG CPR X 60;43122;5820002;7795327063687;DOMINGUEZ;729,79;0;0;0;0
D;5 ASA LP 500 MG CPR X 30;;5927681;7795327061126;DOMINGUEZ;286,81;0;0;0;0
D;5 ASA LP 500 MG CPR X 60;;5927682;7795327061133;DOMINGUEZ;516,25;0;0;0;0
