Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
P;47 STREET CUTIE ( B.SPLASH X 160+ATP);;P10004324;7798045213944;www.padoc.s.a.com.ar;29,26;1;0;0;0
P;47 STREET CUTIE (EDT X 60+LLAVERO);;P30001060;7798045214683;www.padoc.s.a.com.ar;48,62;1;0;0;0
P;47 STREET CUTIE ATP AER X 140 ML;;P10004316;7798045210784;www.padoc.s.a.com.ar;9,54;1;0;0;0
P;47 STREET CUTIE BODY SPLASH X 160 ML;;P10004320;7798045218780;www.padoc.s.a.com.ar;17,84;1;0;0;0
P;47 STREET CUTIE LATA X 60 ML;;P10004350;7798045218810;www.padoc.s.a.com.ar;35,01;1;0;0;0
P;47 STREET FEELING (B.SPLASH X 160+ATP);;P10004325;7798045213969;www.padoc.s.a.com.ar;29,26;1;0;0;0
P;47 STREET FEELING ATP AER X 140 ML;;P10004317;7798045210722;www.padoc.s.a.com.ar;9,54;1;0;0;0
P;47 STREET FEELING BODY SPLASH X 160 ML;;P10004321;7798045211958;www.padoc.s.a.com.ar;17,84;1;0;0;0
P;47 STREET FEELING LATA X 60 ML;;P10004351;7798045211934;www.padoc.s.a.com.ar;35,01;1;0;0;0
P;47 STREET JUANA (EDT X 85+B.MIST X 150);;P30001094;7798175710727;www.padoc.s.a.com.ar;48,62;1;0;0;0
P;47 STREET JUANA BODY MIST X 150 ML;;P30000547;7798045215055;www.padoc.s.a.com.ar;15,00;1;0;0;0
P;47 STREET JUANA EDT X 40 ML;;P10004353;7798045214492;www.padoc.s.a.com.ar;84,22;1;0;0;0
P;47 STREET LOLA (EDT X 85+B.MIST X 150);;P30001092;7798175710703;www.padoc.s.a.com.ar;48,62;1;0;0;0
P;47 STREET LOLA BODY MIST X 150 ML;;P30000546;7798045215048;www.padoc.s.a.com.ar;15,00;1;0;0;0
P;47 STREET LOLA EDT X 40 ML;;P10004354;7798045214485;www.padoc.s.a.com.ar;84,22;1;0;0;0
P;47 STREET LOVE (B.SPLASH X 160 +ATP );;P10004326;7798045213976;www.padoc.s.a.com.ar;29,26;1;0;0;0
P;47 STREET LOVE ATP AER X 140 ML;;P10004319;7798045210739;www.padoc.s.a.com.ar;9,54;1;0;0;0
P;47 STREET LOVE BODY SPLASH X 160 ML;;P10004323;7798045211781;www.padoc.s.a.com.ar;17,84;1;0;0;0
P;47 STREET MIA (EDT X 85+B.MIST X 150);;P30001093;7798175710710;www.padoc.s.a.com.ar;48,62;1;0;0;0
P;47 STREET MIA BODY MIST X 150 ML;;P30000545;7798045215062;www.padoc.s.a.com.ar;15,00;1;0;0;0
P;47 STREET MIA EDT X 40 ML;;P10004355;7798045214508;www.padoc.s.a.com.ar;84,22;1;0;0;0
P;47 STREET URBAN ( B.SPLASH X 160 +ATP);;P10004327;7798045213952;www.padoc.s.a.com.ar;29,26;1;0;0;0
P;47 STREET URBAN ( EDT X 60 ML+LLAVERO );;P30001123;7798045214690;www.padoc.s.a.com.ar;48,62;1;0;0;0
P;47 STREET URBAN ATP AER X 140 ML;;P10004318;7798045210791;www.padoc.s.a.com.ar;9,54;1;0;0;0
P;47 STREET URBAN BODY SPLASH X 160 ML;;P10004322;7798045218797;www.padoc.s.a.com.ar;17,84;1;0;0;0
P;47 STREET URBAN LATA X 60 ML;;P10004352;7798045218766;www.padoc.s.a.com.ar;35,01;1;0;0;0
P;5TH AVENUE AF FIVE EDP C-VAP X 125 ML;;P10002139;85805043476;www.beautygroup.com.ar;182,48;1;0;0;0
P;5TH AVENUE AF FIVE EDP C-VAP X 30 ML;;P10002147;85805043469;www.beautygroup.com.ar;112,96;1;0;0;0
